work_group,expected_source,status,in_primary,in_secondary,in_combined,expected_documents,combined_documents,expected_doc_ids,combined_doc_ids
Bacalbasa__Gramatica,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_Gramatica.txt,Bacalbasa_Gramatica.txt
Bacalbasa__GrevaAReusit,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_GrevaAReusit.txt,Bacalbasa_GrevaAReusit.txt
Bacalbasa__HoleraMitropolitului,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_HoleraMitropolitului.txt,Bacalbasa_HoleraMitropolitului.txt
Bacalbasa__ILCaragiale,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_ILCaragiale.txt,Bacalbasa_ILCaragiale.txt
Bacalbasa__ImpotrivaNationalismului,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_ImpotrivaNationalismului.txt,Bacalbasa_ImpotrivaNationalismului.txt
Bacalbasa__Incepe,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_Incepe.txt,Bacalbasa_Incepe.txt
Bacalbasa__Instigatorii,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_Instigatorii.txt,Bacalbasa_Instigatorii.txt
Bacalbasa__Invataminte,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_Invataminte.txt,Bacalbasa_Invataminte.txt
Bacalbasa__IubireaInPoezie,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_IubireaInPoezie.txt,Bacalbasa_IubireaInPoezie.txt
Bacalbasa__Justitie,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_Justitie.txt,Bacalbasa_Justitie.txt
Bacalbasa__LaStana,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_LaStana.txt,Bacalbasa_LaStana.txt
Bacalbasa__LaVacarestiNuLaFilaret,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_LaVacarestiNuLaFilaret.txt,Bacalbasa_LaVacarestiNuLaFilaret.txt
Bacalbasa__Leone,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_Leone.txt,Bacalbasa_Leone.txt
Bacalbasa__LibertateSiRobie,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_LibertateSiRobie.txt,Bacalbasa_LibertateSiRobie.txt
Bacalbasa__MareleCapitan,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_MareleCapitan.txt,Bacalbasa_MareleCapitan.txt
Bacalbasa__MenageriaRegalaAlexandruLahovary,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_MenageriaRegalaAlexandruLahovary.txt,Bacalbasa_MenageriaRegalaAlexandruLahovary.txt
Bacalbasa__MenageriaRegalaLascarCatargiu,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_MenageriaRegalaLascarCatargiu.txt,Bacalbasa_MenageriaRegalaLascarCatargiu.txt
Bacalbasa__MesajulSiCriza,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_MesajulSiCriza.txt,Bacalbasa_MesajulSiCriza.txt
Bacalbasa__MititaScuza,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_MititaScuza.txt,Bacalbasa_MititaScuza.txt
Bacalbasa__MosTeacaaghiotantulPietei,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_MosTeacaaghiotantulPietei.txt,Bacalbasa_MosTeacaaghiotantulPietei.txt
Bacalbasa__MosTeacabacalaureatii,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_MosTeacabacalaureatii.txt,Bacalbasa_MosTeacabacalaureatii.txt
Bacalbasa__MosTeacacheiulDambovitei,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_MosTeacacheiulDambovitei.txt,Bacalbasa_MosTeacacheiulDambovitei.txt
Bacalbasa__MosTeacachipiulAlb,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_MosTeacachipiulAlb.txt,Bacalbasa_MosTeacachipiulAlb.txt
Bacalbasa__MosTeacacineEMosTeaca,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_MosTeacacineEMosTeaca.txt,Bacalbasa_MosTeacacineEMosTeaca.txt
Bacalbasa__MosTeacacontrabanda,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_MosTeacacontrabanda.txt,Bacalbasa_MosTeacacontrabanda.txt
Bacalbasa__MosTeacacumSeVindecaBoalele,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_MosTeacacumSeVindecaBoalele.txt,Bacalbasa_MosTeacacumSeVindecaBoalele.txt
Bacalbasa__MosTeacadonColonelPeFrontiera,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_MosTeacadonColonelPeFrontiera.txt,Bacalbasa_MosTeacadonColonelPeFrontiera.txt
Bacalbasa__MosTeacaepizootia,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_MosTeacaepizootia.txt,Bacalbasa_MosTeacaepizootia.txt
Bacalbasa__MosTeacainDobrogea,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_MosTeacainDobrogea.txt,Bacalbasa_MosTeacainDobrogea.txt
Bacalbasa__MosTeacainainteDeInspectie,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_MosTeacainainteDeInspectie.txt,Bacalbasa_MosTeacainainteDeInspectie.txt
Bacalbasa__MosTeacaintreCamarazi,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_MosTeacaintreCamarazi.txt,Bacalbasa_MosTeacaintreCamarazi.txt
Bacalbasa__MosTeacalaTeatru,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_MosTeacalaTeatru.txt,Bacalbasa_MosTeacalaTeatru.txt
Bacalbasa__MosTeacaluminaElectrica,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_MosTeacaluminaElectrica.txt,Bacalbasa_MosTeacaluminaElectrica.txt
Bacalbasa__MosTeacamosTeacaLa10Mai,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_MosTeacamosTeacaLa10Mai.txt,Bacalbasa_MosTeacamosTeacaLa10Mai.txt
Bacalbasa__MosTeacamosTeacaLaInundatie,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_MosTeacamosTeacaLaInundatie.txt,Bacalbasa_MosTeacamosTeacaLaInundatie.txt
Bacalbasa__MosTeacamosTeacaPensionar,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_MosTeacamosTeacaPensionar.txt,Bacalbasa_MosTeacamosTeacaPensionar.txt
Bacalbasa__MosTeacamosTeacaSenator,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_MosTeacamosTeacaSenator.txt,Bacalbasa_MosTeacamosTeacaSenator.txt
Bacalbasa__MosTeacamosTeacaSiExamenele,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_MosTeacamosTeacaSiExamenele.txt,Bacalbasa_MosTeacamosTeacaSiExamenele.txt
Bacalbasa__MosTeacamosTeacaSiPresa,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_MosTeacamosTeacaSiPresa.txt,Bacalbasa_MosTeacamosTeacaSiPresa.txt
Bacalbasa__MosTeacamosTeacaSiScoala,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_MosTeacamosTeacaSiScoala.txt,Bacalbasa_MosTeacamosTeacaSiScoala.txt
Bacalbasa__MosTeacamosTeacaSpiritist,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_MosTeacamosTeacaSpiritist.txt,Bacalbasa_MosTeacamosTeacaSpiritist.txt
Bacalbasa__MosTeacapastele,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_MosTeacapastele.txt,Bacalbasa_MosTeacapastele.txt
Bacalbasa__MosTeacaprimulAtac,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_MosTeacaprimulAtac.txt,Bacalbasa_MosTeacaprimulAtac.txt
Bacalbasa__MosTeacarascoalaCarutasilor,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_MosTeacarascoalaCarutasilor.txt,Bacalbasa_MosTeacarascoalaCarutasilor.txt
Bacalbasa__MosTeacarecrutii,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_MosTeacarecrutii.txt,Bacalbasa_MosTeacarecrutii.txt
Bacalbasa__MosTeacareligiaCazona,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_MosTeacareligiaCazona.txt,Bacalbasa_MosTeacareligiaCazona.txt
Bacalbasa__MosTeacatelegrafulRegimentului,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_MosTeacatelegrafulRegimentului.txt,Bacalbasa_MosTeacatelegrafulRegimentului.txt
Bacalbasa__MosTeacateorii,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_MosTeacateorii.txt,Bacalbasa_MosTeacateorii.txt
Bacalbasa__MosTeacaunJurnalCazon,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_MosTeacaunJurnalCazon.txt,Bacalbasa_MosTeacaunJurnalCazon.txt
Bacalbasa__MosTeacaunRondSever,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_MosTeacaunRondSever.txt,Bacalbasa_MosTeacaunRondSever.txt
Bacalbasa__MuncaNoastra,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_MuncaNoastra.txt,Bacalbasa_MuncaNoastra.txt
Bacalbasa__NAvemProletari,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_NAvemProletari.txt,Bacalbasa_NAvemProletari.txt
Bacalbasa__NoteSiSchite,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_NoteSiSchite.txt,Bacalbasa_NoteSiSchite.txt
Bacalbasa__NouluiNascut,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_NouluiNascut.txt,Bacalbasa_NouluiNascut.txt
Bacalbasa__NuntaEnglitereiCuRomania,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_NuntaEnglitereiCuRomania.txt,Bacalbasa_NuntaEnglitereiCuRomania.txt
Bacalbasa__OPovesteTrista,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_OPovesteTrista.txt,Bacalbasa_OPovesteTrista.txt
Bacalbasa__OVictorie,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_OVictorie.txt,Bacalbasa_OVictorie.txt
Bacalbasa__OameniiLui98,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_OameniiLui98.txt,Bacalbasa_OameniiLui98.txt
Bacalbasa__OcultaSiInteligenta,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_OcultaSiInteligenta.txt,Bacalbasa_OcultaSiInteligenta.txt
Bacalbasa__PapusileMaiestatiiSale,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_PapusileMaiestatiiSale.txt,Bacalbasa_PapusileMaiestatiiSale.txt
Bacalbasa__PaturaCulta,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_PaturaCulta.txt,Bacalbasa_PaturaCulta.txt
Bacalbasa__PentruCeLuptamNoiSocialistii,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_PentruCeLuptamNoiSocialistii.txt,Bacalbasa_PentruCeLuptamNoiSocialistii.txt
Bacalbasa__PentruEminescu,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_PentruEminescu.txt,Bacalbasa_PentruEminescu.txt
Bacalbasa__PentruReprezentantiiTarii,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_PentruReprezentantiiTarii.txt,Bacalbasa_PentruReprezentantiiTarii.txt
Bacalbasa__PoetiCantati,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_PoetiCantati.txt,Bacalbasa_PoetiCantati.txt
Bacalbasa__PolitistiiDinIasi,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_PolitistiiDinIasi.txt,Bacalbasa_PolitistiiDinIasi.txt
Bacalbasa__PrasilaRegala,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_PrasilaRegala.txt,Bacalbasa_PrasilaRegala.txt
Bacalbasa__PrefataLaDonPaladu,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_PrefataLaDonPaladu.txt,Bacalbasa_PrefataLaDonPaladu.txt
Bacalbasa__ProcesulBurgheziei,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_ProcesulBurgheziei.txt,Bacalbasa_ProcesulBurgheziei.txt
Bacalbasa__RaspunsulLaMesaj,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_RaspunsulLaMesaj.txt,Bacalbasa_RaspunsulLaMesaj.txt
Bacalbasa__Reflectii,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_Reflectii.txt,Bacalbasa_Reflectii.txt
Bacalbasa__Scandal,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_Scandal.txt,Bacalbasa_Scandal.txt
Bacalbasa__SeDuceReligia,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_SeDuceReligia.txt,Bacalbasa_SeDuceReligia.txt
Bacalbasa__SerbareaDeAziHoriaCloscaCrisan,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_SerbareaDeAziHoriaCloscaCrisan.txt,Bacalbasa_SerbareaDeAziHoriaCloscaCrisan.txt
Bacalbasa__ServitorulRegelui,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_ServitorulRegelui.txt,Bacalbasa_ServitorulRegelui.txt
Bacalbasa__SfantaFilofteia,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_SfantaFilofteia.txt,Bacalbasa_SfantaFilofteia.txt
Bacalbasa__Spanachidi,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_Spanachidi.txt,Bacalbasa_Spanachidi.txt
Bacalbasa__Spanachidism,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_Spanachidism.txt,Bacalbasa_Spanachidism.txt
Bacalbasa__TaraFericita,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_TaraFericita.txt,Bacalbasa_TaraFericita.txt
Bacalbasa__Taranii,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_Taranii.txt,Bacalbasa_Taranii.txt
Bacalbasa__TaraniiLaOras,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_TaraniiLaOras.txt,Bacalbasa_TaraniiLaOras.txt
Bacalbasa__TextScrisDeMina,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_TextScrisDeMina.txt,Bacalbasa_TextScrisDeMina.txt
Bacalbasa__UnulDinMultime,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_UnulDinMultime.txt,Bacalbasa_UnulDinMultime.txt
Bacalbasa__VeaculNostru,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_VeaculNostru.txt,Bacalbasa_VeaculNostru.txt
Caragiale__25DeMinute,ro-stories-AP-clean,ok,False,True,True,1,1,Caragiale_25DeMinute.txt,Caragiale_25DeMinute.txt
Caragiale__AbuHasan,ro-stories-AP-clean,ok,False,True,True,1,1,Caragiale_AbuHasan.txt,Caragiale_AbuHasan.txt
Caragiale__AcceleratNo17,ro-stories-AP-clean,ok,False,True,True,1,1,Caragiale_AcceleratNo17.txt,Caragiale_AcceleratNo17.txt
Caragiale__AmiculX,ro-stories-AP-clean,ok,False,True,True,1,1,Caragiale_AmiculX.txt,Caragiale_AmiculX.txt
Caragiale__Antologie,ro-stories-AP-clean,ok,False,True,True,1,1,Caragiale_Antologie.txt,Caragiale_Antologie.txt
Caragiale__AsaSaMor,ro-stories-AP-clean,ok,False,True,True,1,1,Caragiale_AsaSaMor.txt,Caragiale_AsaSaMor.txt
Caragiale__AtmosferaIncarcata,ro-stories-AP-clean,ok,False,True,True,1,1,Caragiale_AtmosferaIncarcata.txt,Caragiale_AtmosferaIncarcata.txt
Caragiale__Bacalaureat,ro-stories-AP-clean,ok,False,True,True,1,1,Caragiale_Bacalaureat.txt,Caragiale_Bacalaureat.txt
Caragiale__Bubico,ro-stories-AP-clean,ok,False,True,True,1,1,Caragiale_Bubico.txt,Caragiale_Bubico.txt
Caragiale__CalulDracului,ro-stories-AP-clean,ok,False,True,True,1,1,Caragiale_CalulDracului.txt,Caragiale_CalulDracului.txt
Caragiale__CamTarziu,ro-stories-AP-clean,ok,False,True,True,1,1,Caragiale_CamTarziu.txt,Caragiale_CamTarziu.txt
Caragiale__CanutaOmSucit,ro-stories-AP-clean,ok,False,True,True,1,1,Caragiale_CanutaOmSucit.txt,Caragiale_CanutaOmSucit.txt
Caragiale__CumDevineCinevaRevolutionarSiOmPolitic,ro-stories-AP-clean,ok,False,True,True,1,1,Caragiale_CumDevineCinevaRevolutionarSiOmPolitic.txt,Caragiale_CumDevineCinevaRevolutionarSiOmPolitic.txt
Caragiale__DLGoe,ro-stories-AP-clean,ok,False,True,True,1,1,Caragiale_DLGoe.txt,Caragiale_DLGoe.txt
Caragiale__DespreCometaPrelegerePopulara,ro-stories-AP-clean,ok,False,True,True,1,1,Caragiale_DespreCometaPrelegerePopulara.txt,Caragiale_DespreCometaPrelegerePopulara.txt
Caragiale__DouaLoturi,ro-stories-AP-clean,ok,False,True,True,1,1,Caragiale_DouaLoturi.txt,Caragiale_DouaLoturi.txt
Caragiale__Emulatiune,ro-stories-AP-clean,ok,False,True,True,1,1,Caragiale_Emulatiune.txt,Caragiale_Emulatiune.txt
Caragiale__ExamenulAnnual,ro-stories-AP-clean,ok,False,True,True,1,1,Caragiale_ExamenulAnnual.txt,Caragiale_ExamenulAnnual.txt
Caragiale__FiveOclock,ro-stories-AP-clean,ok,False,True,True,1,1,Caragiale_FiveOclock.txt,Caragiale_FiveOclock.txt
Caragiale__GreuDeAziPeMaineSauUnchiulSiNepotul,ro-stories-AP-clean,ok,False,True,True,1,1,Caragiale_GreuDeAziPeMaineSauUnchiulSiNepotul.txt,Caragiale_GreuDeAziPeMaineSauUnchiulSiNepotul.txt
Caragiale__HighLife,ro-stories-AP-clean,ok,False,True,True,1,1,Caragiale_HighLife.txt,Caragiale_HighLife.txt
Caragiale__Identitate,ro-stories-AP-clean,ok,False,True,True,1,1,Caragiale_Identitate.txt,Caragiale_Identitate.txt
Caragiale__InVremeDeRazboi,ro-stories-AP-clean,ok,False,True,True,1,1,Caragiale_InVremeDeRazboi.txt,Caragiale_InVremeDeRazboi.txt
Caragiale__Infamie,ro-stories-AP-clean,ok,False,True,True,1,1,Caragiale_Infamie.txt,Caragiale_Infamie.txt
Caragiale__Inspectiune,ro-stories-AP-clean,ok,False,True,True,1,1,Caragiale_Inspectiune.txt,Caragiale_Inspectiune.txt
Caragiale__Intarziere,ro-stories-AP-clean,ok,False,True,True,1,1,Caragiale_Intarziere.txt,Caragiale_Intarziere.txt
Caragiale__IntreDouaPoveteSchita,ro-stories-AP-clean,ok,False,True,True,1,1,Caragiale_IntreDouaPoveteSchita.txt,Caragiale_IntreDouaPoveteSchita.txt
Caragiale__Justitie,ro-stories-AP-clean,ok,False,True,True,1,1,Caragiale_Justitie.txt,Caragiale_Justitie.txt
Caragiale__KirIanulea,ro-stories-AP-clean,ok,False,True,True,1,1,Caragiale_KirIanulea.txt,Caragiale_KirIanulea.txt
Caragiale__LaConac,ro-stories-AP-clean,ok,False,True,True,1,1,Caragiale_LaConac.txt,Caragiale_LaConac.txt
Caragiale__LaHanulLuiManjoala,ro-stories-AP-clean,ok,False,True,True,1,1,Caragiale_LaHanulLuiManjoala.txt,Caragiale_LaHanulLuiManjoala.txt
Caragiale__LaMosi,ro-stories-AP-clean,ok,False,True,True,1,1,Caragiale_LaMosi.txt,Caragiale_LaMosi.txt
